labels,GC_content,PercentGap,PercentMissing,LB_scores,RCFV,group
Ceratosolen_JRAS02197_0189,0.453,9.72,41.99,18.4657611373495,0.0003,Clade3
Ceratosolen_JRAS02288_0189,0.432,13.19,12.59,-1.29946150468502,0.0001,Clade3
Ceratosolen_JRAS02292_0195,0.444,25.54,23.86,18.2967451921903,0.0002,Clade3
Ceratosolen_JRAS02318_0195,0.454,25.29,21.58,22.571386608409,0.0003,Clade3
Ceratosolen_JRAS02460_0195,0.454,15.86,18.00,21.1033279611965,0.0003,Clade3
Ceratosolen_JRAS02485_0195,0.431,11.58,7.56,-0.925037293737041,0.0001,Clade3
Ceratosolen_JRAS02488_0195,0.445,14.90,23.93,26.0538296255718,0.0002,Clade3
Ceratosolen_JRAS02495_0195,0.483,12.94,47.08,40.0034892898005,0.0005,Clade3
Ceratosolen_JRAS02496_0195,0.437,12.44,15.14,6.56165577830303,0.0001,Clade3
Ceratosolen_JRAS02514_0189,0.433,12.52,20.43,30.3934761024157,0.0001,Clade3
Ceratosolen_JRAS02540_0195,0.451,13.34,11.72,9.01288322376581,0.0002,Clade3
Ceratosolen_JRAS02778_0195,0.434,11.47,28.89,-0.396238913628966,0.0001,Clade3
Ceratosolen_JRAS03042_0189,0.41,18.82,22.41,-7.97454285525102,0.0002,Clade3
Ceratosolen_JRAS03063_0195,0.451,16.29,14.72,17.8727646981836,0.0002,Clade3
Ceratosolen_JRAS03513_0199,0.438,21.50,15.45,13.5886513969742,0.0001,Clade3
Ceratosolen_JRAS05337_0189,0.442,9.10,31.33,21.7850519577252,0.0002,Clade3
Ceratosolen_JRAS05886_0171,0.446,26.38,22.36,7.62290239043186,0.0002,Clade3
Ceratosolen_JRAS05982_0189,0.437,12.24,13.02,2.35200387302272,0.0001,Clade3
Ceratosolen_JRAS06043_0189,0.442,12.57,6.05,-3.37253152912387,0.0002,Clade3
Ceratosolen_JRAS06421_0199,0.435,9.48,20.15,0.60150067489233,0.0001,Clade3
Ceratosolen_JRAS06512_0189,0.434,13.84,21.94,7.34099536818416,0.0001,Clade3
Ceratosolen_JRAS07337_0189,0.454,23.22,21.66,35.1932023591502,0.0003,Clade3
Ceratosolen_JRAS08247_0189,0.428,6.45,18.55,-10.8613597961278,0.0000,Clade3
Courtella_JRAS01111_0189,0.46,35.44,36.00,-15.3154842575231,0.0003,Clade1
Courtella_JRAS01930_0189,0.431,21.35,28.85,-5.32410194964106,0.0001,Clade1
Courtella_JRAS01934_0189,0.41,7.16,18.22,-15.7888193356295,0.0001,Clade1
Courtella_JRAS01936_0189,0.44,9.17,30.16,-7.17405031031192,0.0001,Clade1
Courtella_JRAS01946_0195,0.454,18.85,47.00,2.56912661279731,0.0003,Clade1
Elisabethiella_JRAS01813_0189,0.431,4.30,48.47,-7.72417422219998,0.0001,Clade1
Elisabethiella_JRAS01937_0189,0.414,8.40,10.57,-8.11636698284476,0.0001,Clade1
Elisabethiella_JRAS02248_0189,0.413,6.08,15.14,-9.57158900595997,0.0001,Clade1
Elisabethiella_JRAS02617_0189,0.425,19.86,7.54,-10.8491920942994,0.0000,Clade1
Elisabethiella_JRAS02966_0101,0.415,9.54,7.72,-9.38678216598169,0.0001,Clade1
Elisabethiella_JRAS03495_0389,0.43,31.80,18.69,-6.37670089388568,0.0000,Clade1
Elisabethiella_JRAS08432_0189,0.42,7.86,7.48,-10.9978974367144,0.0000,Clade1
Elisabethiella_JRAS08433_0189,0.417,12.27,12.27,-7.56551824223993,0.0001,Clade1
Elisabethiella_JRAS08434_0189,0.411,8.10,26.71,-7.19341985245621,0.0001,Clade1
Eupristina_JRAS05383_0189,0.413,5.95,21.97,0.43836934103858,0.0001,Clade1
Eupristina_JRAS05913_0189,0.434,25.87,25.90,0.772686671918232,0.0001,Clade1
Eupristina_JRAS07710_0189,0.41,8.69,22.21,5.71045952280045,0.0001,Clade1
Eupristina_JRAS07716_0189,0.416,10.55,15.51,4.2556125202287,0.0001,Clade1
Eupristina_JRAS07917_0189,0.44,12.56,16.51,2.79403619354444,0.0001,Clade1
Hederagaon_JRAS01376_0189,0.446,16.78,10.65,6.71033595592632,0.0002,Clade3
Hederagaon_JRAS01665_0195,0.421,24.35,45.37,4.99426047441225,0.0000,Clade3
Hederagaon_JRAS01904_0189,0.432,10.91,10.83,3.49954698630983,0.0001,Clade3
Hederagaon_JRAS01905_0189,0.423,9.50,16.97,-0.538453575328868,0.0000,Clade3
Hederagaon_JRAS02533_0195,0.427,9.40,9.18,0.303945323215626,0.0000,Clade3
Hederagaon_JRAS03014_4489,0.43,8.68,21.90,7.63864111668382,0.0000,Clade3
Hederagaon_JRAS03572_0199,0.43,9.86,11.39,3.75624727608002,0.0000,Clade3
Hederagaon_JRAS04756_0199,0.444,16.61,8.51,-0.662350284387359,0.0002,Clade3
Kjellbergia_JRAS01992_0189,0.412,4.19,6.15,-22.5505426868847,0.0001,Clade2
Kjellbergia_JRAS02296_0189,0.411,4.38,7.73,-15.7849289515548,0.0001,Clade2
Kjellbergia_JRAS02426_0195,0.411,4.60,5.20,-15.7425809925692,0.0001,Clade2
Kjellbergia_JRAS05446_0189,0.411,4.25,6.38,-21.9543979787387,0.0001,Clade2
Kjellbergia_JRAS05482_0189,0.408,3.37,13.87,-20.2654432703823,0.0002,Clade2
Kjellbergia_JRAS08515_0189,0.413,5.01,12.29,-20.8490259689412,0.0001,Clade2
Kradibia_JRAS01311_0195,0.44,14.56,12.13,16.3939624836272,0.0001,Clade3
Kradibia_JRAS01322_0195,0.45,21.60,25.92,36.3862759101546,0.0002,Clade3
Kradibia_JRAS02048_0189,0.43,12.53,22.48,16.8347317885091,0.0000,Clade3
Kradibia_JRAS02217_0189,0.421,11.84,16.53,16.9249306040529,0.0000,Clade3
Kradibia_JRAS03050_0189,0.432,14.76,28.10,18.2131610806631,0.0001,Clade3
Kradibia_JRAS03501_0199,0.45,14.40,15.81,20.8459145730157,0.0002,Clade3
Kradibia_JRAS03548_0189,0.413,6.62,23.85,10.7228252823322,0.0001,Clade3
Kradibia_JRAS08284_0189,0.433,12.81,18.86,34.0791329479334,0.0001,Clade3
Kradibia_JRAS08286_0189,0.431,14.02,18.48,28.6357545422785,0.0001,Clade3
Kradibia_JRAS08495_0189,0.464,17.73,30.25,46.6118714847718,0.0004,Clade3
Kradibia_JRAS08503_0189,0.448,10.59,12.80,6.38551578725466,0.0002,Clade3
Madascapa_JRAS02469_0189,0.409,18.03,9.25,-24.0663019396309,0.0002,Clade1
Maniella (D.)_JRAS02311_0195,0.447,7.24,34.33,-4.98663292891193,0.0002,Clade1
Maniella (D.)_JRAS03014_0189,0.437,4.93,45.16,-9.35617780445246,0.0001,Clade1
Maniella (D.)_JRAS03014_0389,0.431,7.29,26.80,-11.733821403122,0.0000,Clade1
Maniella (D.)_JRAS05964_0101,0.44,12.93,24.24,-5.6571917928119,0.0001,Clade1
Maniella (D.)_JRAS07708_0189,0.437,9.81,21.30,-10.9487425080037,0.0001,Clade1
Maniella_JRAS00914_1189,0.412,16.30,11.86,-25.5889118289815,0.0001,Clade1
Maniella_JRAS01820_0189,0.417,13.25,8.31,-19.5630102006145,0.0001,Clade1
Maniella_JRAS02913_0189,0.422,5.55,12.43,-19.3308345045462,0.0000,Clade1
Maniella_JRAS03074_0189,0.415,4.23,5.59,-23.9203591707885,0.0001,Clade1
Maniella_JRAS07714_0189,0.404,5.63,8.18,-27.2134283096504,0.0002,Clade1
Maniella_JRAS07723_0189,0.412,8.67,10.87,-13.3652724081741,0.0001,Clade1
Nigeriella_JRAS01765_0189,0.424,5.92,17.46,-16.8141472653837,0.0000,Clade1
Paragaon_JRAS08431_0189,0.412,7.93,13.19,-17.0359852697905,0.0001,Clade1
Pegoscapus_JRAS00964_0189,0.441,21.91,15.10,-1.10268321360962,0.0001,Clade1
Pegoscapus_JRAS01364_0489,0.416,7.94,9.46,-5.48906849536402,0.0001,Clade1
Pegoscapus_JRAS01767_0195,0.436,17.94,46.02,10.8807003534668,0.0001,Clade1
Pegoscapus_JRAS02182_0189,0.414,5.86,24.42,-2.25539193261098,0.0001,Clade1
Pegoscapus_JRAS02272_0189,0.407,5.95,16.31,-5.45738677838137,0.0002,Clade1
Pegoscapus_JRAS02871_0189,0.403,19.78,27.73,-7.02816453666455,0.0002,Clade1
Pegoscapus_JRAS03707_0189,0.421,10.91,13.87,-4.86182835920282,0.0000,Clade1
Pegoscapus_JRAS06050_0189,0.413,7.32,11.89,-6.7130598241563,0.0001,Clade1
Pegoscapus_JRAS06066_0189,0.411,5.67,24.54,-6.00935260246453,0.0001,Clade1
Pegoscapus_JRAS06081_0189,0.413,9.68,25.85,-1.35647186515288,0.0001,Clade1
Pegoscapus_KHER00096_0201,0.42,8.68,8.87,-8.33810677289711,0.0000,Clade1
Pegoscapus_RASP00382_0199,0.424,16.96,17.30,-1.04162042905638,0.0000,Clade1
Platyscapa_JRAS00227_0189,0.421,11.42,8.19,-13.2055982462422,0.0000,Clade1
Platyscapa_JRAS00993_0189,0.435,28.08,12.01,-10.6197829487207,0.0001,Clade1
Platyscapa_JRAS01660_0189,0.43,30.48,14.15,-16.6773753793837,0.0000,Clade1
Platyscapa_JRAS01752_0189,0.421,7.23,16.88,-13.1034793978435,0.0000,Clade1
Platyscapa_JRAS01885_0195,0.418,7.57,6.53,-15.2460914777388,0.0001,Clade1
Platyscapa_JRAS02420_0189,0.412,5.52,29.33,-13.8637094072516,0.0001,Clade1
Platyscapa_JRAS02482_0197,0.43,9.31,5.29,-12.1891525648594,0.0000,Clade1
Platyscapa_JRAS03582_0189,0.414,6.02,29.86,-13.7991638820991,0.0001,Clade1
Pleistodontes_JRAS00997_0189,0.428,12.74,7.59,-18.7339526808007,0.0000,Pleistodontes
Pleistodontes_JRAS01244_0189,0.438,14.58,4.93,-23.3129291958741,0.0001,Pleistodontes
Pleistodontes_JRAS01416_0289,0.436,6.37,8.44,-18.9988283715965,0.0001,Pleistodontes
Pleistodontes_JRAS01416_0389,0.428,5.80,9.72,-23.6776330966293,0.0000,Pleistodontes
Pleistodontes_JRAS02480_0189,0.416,17.32,13.54,-24.926587523377,0.0001,Pleistodontes
Pleistodontes_JRAS02505_0295,0.438,16.54,7.18,-13.5017206121353,0.0001,Pleistodontes
Pleistodontes_JRAS02553_0189,0.414,13.73,14.28,-22.0078741609814,0.0001,Pleistodontes
Pleistodontes_JRAS07918_0201,0.443,11.47,4.75,-22.6951341452499,0.0002,Pleistodontes
Pleistodontes_JRAS07922_0189,0.436,7.39,5.43,-23.1117360409799,0.0001,Pleistodontes
Pleistodontes_JRAS08130_0189,0.435,10.48,4.57,-18.900518446949,0.0001,Pleistodontes
Podosiphaga_JRAS01625_0195,0.438,10.17,5.84,-19.4338486713768,0.0001,Clade3
Podosiphaga_JRAS01647_0195,0.431,9.56,10.29,-3.70969501262521,0.0000,Clade3
Podosiphaga_JRAS01675_0195,0.431,16.89,19.46,-3.46453731299784,0.0000,Clade3
Podosiphaga_JRAS02395_0189,0.428,7.67,13.42,-5.15997060162254,0.0000,Clade3
Podosiphaga_JRAS02407_0189,0.423,9.39,12.51,-5.07272981803017,0.0000,Clade3
Podosiphaga_JRAS05417_0189,0.427,8.21,11.59,-5.92495809625443,0.0000,Clade3
Tetrapus_JRAS01768_0189,0.38,8.70,42.13,46.0235191765771,0.0004,Tetrapus
Tetrapus_JRAS02166_0189,0.382,16.68,31.96,46.6048724872288,0.0004,Tetrapus
Tetrapus_JRAS02178_0189,0.385,10.17,40.20,47.5682693318709,0.0004,Tetrapus
Tetrapus_JRAS02180_0189,0.38,8.80,47.51,45.2072470352212,0.0004,Tetrapus
Tetrapus_JRAS03703_0189,0.398,9.44,17.14,18.6924057112494,0.0003,Tetrapus
Tetrapus_JRAS06079_0189,0.373,9.07,30.94,35.461482778757,0.0005,Tetrapus
Tetrapus_JRAS06126_0189,0.394,7.71,29.22,16.1141775260057,0.0003,Tetrapus
Tetrapus_JRAS06146_0189,0.4,11.71,21.97,14.2478651237804,0.0002,Tetrapus
Tetrapus_KHER00121_0189,0.398,11.44,16.99,18.2894022012296,0.0003,Tetrapus
Umagaon_JRAS01604_0189,0.425,6.34,13.22,-24.4127256429501,0.0000,Clade2
Umagaon_JRAS01624_0189,0.426,5.33,10.09,-25.5307374860133,0.0000,Clade2
Valisia_JRAS00142_0195,0.408,37.42,25.01,-13.280012393714,0.0002,Clade2
Valisia_JRAS00967_0195,0.452,38.87,14.70,-12.535228991163,0.0003,Clade2
Valisia_JRAS01637_0189,0.405,28.96,41.00,-14.809479823524,0.0002,Clade2
Valisia_JRAS03030_0195,0.416,7.20,5.44,-16.8573683074141,0.0001,Clade2
Valisia_JRAS03846_0189,0.424,11.55,30.43,4.40774134711635,0.0000,Clade2
Valisia_JRAS05434_0199,0.41,15.49,21.03,0.0745609166042271,0.0001,Clade2
Valisia_JRAS05463_0189,0.408,6.04,21.35,-8.51135771494607,0.0002,Clade2
Valisia_JRAS06646_0189,0.408,4.12,17.08,-12.6522007977275,0.0002,Clade2
Valisia_JRAS06647_0189,0.39,3.70,38.54,-6.43113637431667,0.0003,Clade2
Valisia_JRAS07122_0189,0.422,7.54,6.51,-11.3363471123208,0.0000,Clade2
Waterstoniella_JRAS01587_0189,0.415,10.82,4.34,-19.176772154164,0.0001,Clade1
Waterstoniella_JRAS01898_0189,0.403,7.83,10.27,-19.3980061485904,0.0002,Clade1
Waterstoniella_JRAS02104_0195,0.412,12.16,10.60,-11.189061284375,0.0001,Clade1
Waterstoniella_JRAS02104_0295,0.411,11.94,9.49,-10.7171315906421,0.0001,Clade1
Waterstoniella_JRAS03014_0289,0.406,9.47,15.74,-5.65845957146558,0.0002,Clade1
Waterstoniella_JRAS03014_0589,0.399,6.31,13.64,-13.1364813596749,0.0002,Clade1
Waterstoniella_JRAS03014_1189,0.412,6.24,50.61,-8.58866584007378,0.0001,Clade1
Waterstoniella_JRAS03058_0195,0.404,15.93,13.67,-6.41896625058386,0.0002,Clade1
Waterstoniella_JRAS03058_0295,0.404,8.58,22.98,-5.50991645170845,0.0002,Clade1
Waterstoniella_JRAS03512_0299,0.414,19.64,9.48,-7.02451797275476,0.0001,Clade1
Waterstoniella_JRAS06666_0189,0.402,11.30,9.20,-4.71180579279958,0.0002,Clade1
Brachymeria_CHAL00035_0101,0.435,9.90,11.37,21.2697631315615,0.0001,Outgroup
Eukoebelea_JRAS01418_3589,0.473,17.30,31.56,57.7947501379982,0.0004,Outgroup
Sycophaga_JRAS02448_0489,0.448,19.25,25.43,49.4871894781556,0.0002,Outgroup
GenusIndet_JRAS05421_0289,0.439,11.62,44.33,44.6036252595485,0.0001,Outgroup
Philotrypesis_JRAS05463_0289,0.447,13.97,20.31,47.2289931468599,0.0002,Outgroup
Glyphomerus_JRAS05562_0599,0.435,10.67,12.65,30.5093255456481,0.0001,Outgroup
Idarnes_JRAS06107_0389,0.432,16.02,39.73,44.3314305092522,0.0001,Outgroup
Megastigmus_JRAS06203_0199,0.435,18.98,12.86,34.3609531308827,0.0001,Outgroup
Josephiella_JRAS06552_0189,0.416,21.59,41.62,55.45375882207,0.0001,Outgroup
